ci95_valid_ratio,collapse_fraction,j2_ratio,mean_correlation_error,mean_frustration_index,mean_magnetization_error,mean_routing_inflation,mean_two_qubit_gate_count,mean_valid_ratio,n,std_valid_ratio
0.011880729140980045,1.0,0.0,0.401541697665035,0.0,0.02029079861111111,33.629629629629626,196.0,0.3142903645833333,3,0.010498993113847745
0.012433223805017561,1.0,0.1,0.40098366195074925,1.0,0.02077907986111111,32.64814814814815,190.0,0.3152669270833333,3,0.010987232312329212
0.012843883916935838,1.0,0.2,0.401541697665035,1.0,0.020236545138888888,34.574074074074076,202.0,0.3155924479166667,3,0.011350132403392669
0.010546659993307428,1.0,0.3,0.4006793988400293,1.0,0.020345052083333332,32.64814814814815,190.0,0.3162434895833333,3,0.009320077019674744
0.010233225672980815,1.0,0.4,0.4009119137209817,1.0,0.020345052083333332,32.72222222222222,190.0,0.31640625,3,0.0090430953014903
0.010972288965808229,1.0,0.5,0.40058639288764836,1.0,0.020616319444444444,33.592592592592595,196.0,0.3165690104166667,3,0.009696205083728177
0.010072851781100263,1.0,0.6,0.40049338693526737,1.0,0.020399305555555552,33.55555555555556,196.0,0.3152669270833333,3,0.008901372990804242
0.01044485119327474,1.0,0.7,0.3928634773622668,1.0,0.019259982638888888,33.629629629629626,196.0,0.3165690104166667,3,0.009230108645024625
0.011192674932937404,1.0,0.8,0.3822490913558278,1.0,0.01898871527777778,33.629629629629626,196.0,0.3167317708333333,3,0.009890960028801103
0.009655007181909587,1.0,0.9,0.3610914335813979,1.0,0.01860894097222222,33.666666666666664,196.0,0.3175455729166667,3,0.008532123972709086
0.008367564783614532,1.0,1.0,0.36137045143854074,1.0,0.018771701388888888,32.68518518518519,190.0,0.3165690104166667,3,0.007394411908594106
